亚 亞
仓 倉
传 傳
傧 儐
兌 兑
冊 册
刚 剛
动 動
区 區
吳 吴
吕 呂
员 員
启 啟
单 單
啬 嗇
咙 嚨
囪 囱
国 國
场 場
壶 壺
備 备
妇 婦
嫔 嬪
孙 孫
学 學
宫 宮
宝 寶
专 專
寻 尋
对 對
堯 尧
师 師
厩 廄
弹 彈
彻 徹
恆 恒
戋 戔
戶 户
執 执
扬 揚
挚 摯
叙 敘
断 斷
时 時
晉 晋
晕 暈
会 會
來 来
东 東
夢 梦
弃 棄
乐 樂
树 樹
栉 櫛
岁 歲
历 歷
归 歸
冲 沖
淵 渊
渔 漁
湿 濕
涛 濤
泺 濼
泷 瀧
为 為
烬 燼
争 爭
犹 猶
兽 獸
献 獻
玨 珏
毕 畢
画 畫
畴 疇
盗 盜
尽 盡
监 監
盘 盤
卢 盧
众 眾
祿 禄
礼 禮
竞 競
粪 糞
丝 絲
糸 纟
終 终
紹 绍
絕 绝
綏 绥
續 续
綠 绿
編 编
罗 羅
羁 羈
义 義
习 習
声 聲
聋 聾
肤 膚
兴 興
旧 舊
艰 艱
刍 芻
兹 茲
獲 获
蛊 蠱
卫 衛
袭 襲
見 见
觀 观
視 视
言 讠
諾 诺
謝 谢
买 買
宾 賓
貝 贝
貞 贞
責 责
敗 败
貯 贮
舆 輿
車 车
載 载
轡 辔
农 農
进 進
迟 遲
乡 鄉
邓 鄧
郑 鄭
鑽 钻
鏵 铧
鍰 锾
鑊 镬
長 长
門 门
問 问
聞 闻
陆 陸
阳 陽
队 隊
雏 雛
韋 韦
頁 页
風 风
飛 飞
飨 饗
食 饣
饋 馈
馬 马
驅 驱
駁 驳
驪 骊
魚 鱼
魯 鲁
凤 鳳
鳥 鸟
雞 鸡
鳴 鸣
鴻 鸿
丽 麗
麥 麦
黃 黄
鼉 鼍
齊 齐
齒 齿
齲 龋
庞 龐
龍 龙
龜 龟
壽 寿
